REQUEST_ID,PICKUP_POINT,DRIVER_ID,STATUS,REQUEST_TIMESTAMP,DROP_TIMESTAMP,REQUEST_HOUR,REQUEST_DAY,TIME_SLOT
619,Airport,1,Trip Completed,07-11-2016 11:51,07-11-2016 13:00,11,07-11-2016,Afternoon
867,Airport,1,Trip Completed,07-11-2016 17:57,07-11-2016 18:47,17,07-11-2016,Evening
1807,City,1,Trip Completed,07-12-2016 09:17,07-12-2016 09:58,9,07-12-2016,Morning
2532,Airport,1,Trip Completed,07-12-2016 21:08,07-12-2016 22:03,21,07-12-2016,Night
267,City,2,Trip Completed,07-11-2016 06:46,07-11-2016 07:25,6,07-11-2016,Morning
1467,Airport,2,Trip Completed,07-12-2016 05:08,07-12-2016 06:02,5,07-12-2016,Morning
1983,City,2,Trip Completed,07-12-2016 12:30,07-12-2016 12:57,12,07-12-2016,Afternoon
535,Airport,3,Trip Completed,07-11-2016 10:00,07-11-2016 10:31,10,07-11-2016,Afternoon
960,Airport,3,Trip Completed,07-11-2016 18:45,07-11-2016 19:23,18,07-11-2016,Evening
1934,Airport,3,Trip Completed,07-12-2016 11:17,07-12-2016 12:23,11,07-12-2016,Afternoon
2083,Airport,3,Trip Completed,07-12-2016 15:46,07-12-2016 16:40,15,07-12-2016,Afternoon
2211,Airport,3,Trip Completed,07-12-2016 18:00,07-12-2016 18:28,18,07-12-2016,Evening
669,City,4,Trip Completed,07-11-2016 13:08,07-11-2016 13:49,13,07-11-2016,Afternoon
1567,Airport,4,Trip Completed,07-12-2016 06:21,07-12-2016 07:10,6,07-12-2016,Morning
1826,City,4,Trip Completed,07-12-2016 09:27,07-12-2016 10:27,9,07-12-2016,Morning
2102,City,4,Trip Completed,07-12-2016 16:09,07-12-2016 17:01,16,07-12-2016,Afternoon
312,City,5,Trip Completed,07-11-2016 07:27,07-11-2016 08:31,7,07-11-2016,Morning
577,Airport,5,Trip Completed,07-11-2016 11:03,07-11-2016 12:01,11,07-11-2016,Afternoon
1179,City,5,Trip Completed,07-11-2016 20:58,07-11-2016 21:45,20,07-11-2016,Evening
1756,Airport,5,Trip Completed,07-12-2016 08:40,07-12-2016 09:23,8,07-12-2016,Morning
2052,City,5,Trip Completed,07-12-2016 14:48,07-12-2016 15:50,14,07-12-2016,Afternoon
2559,City,5,Trip Completed,07-12-2016 21:32,07-12-2016 22:29,21,07-12-2016,Night
1517,Airport,6,Trip Completed,07-12-2016 05:45,07-12-2016 06:28,5,07-12-2016,Morning
1999,Airport,6,Trip Completed,07-12-2016 13:02,07-12-2016 13:51,13,07-12-2016,Afternoon
1039,City,7,Trip Completed,07-11-2016 19:31,07-11-2016 20:41,19,07-11-2016,Evening
1273,Airport,7,Trip Completed,07-11-2016 22:07,07-11-2016 23:12,22,07-11-2016,Night
2480,City,7,Trip Completed,07-12-2016 20:39,07-12-2016 21:28,20,07-12-2016,Evening
380,Airport,8,Trip Completed,07-11-2016 08:18,07-11-2016 09:18,8,07-11-2016,Morning
1050,Airport,8,Trip Completed,07-11-2016 19:39,07-11-2016 20:30,19,07-11-2016,Evening
